"alternative care provider number of patients","number of patients","alternative care provider patient capacity","patient capacity","alternative care provider innovative services","innovative services","alternative care provider patient advocacy","patient advocacy","alternative care provider chronic care services","chronic care services","alternative care provider staff efficiency","staff efficiency","alternative care provider capital investment","capital investment","alternative care provider time to innovation","time to innovation","alternative care provider tech ecosystem innovation","tech ecosystem innovation","fitness","alternative care provider advantage in number of patients","alternative care provider advantage in patient capacity","alternative care provider advantage in innovative features","alternative care provider advantage in patient advocacy","alternative care provider advantage in chronic care services","alternative care provider advantage in staff efficiency","alternative care provider advantage in capital investment","alternative care provider advantage in time to innovation","alternative care provider advantage in tech ecosystem innovation"
"4-High","3-Medium","4-High","1-Very Low","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium","4-High","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","5-Very High","4-High","4-High","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium"
"3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","2-Low","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","5-Very High","3-Medium","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","4-High"
"3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","5-Very High","4-High","3-Medium","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low"
"4-High","2-Low","1-Very Low","1-Very Low","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","1-Very Low","4-High","3-Medium","2-Low","4-High","1-Very Low","1-Very Low","5-Very High","5-Very High","2-Low","4-High","4-High","4-High","2-Low","3-Medium","2-Low","3-Medium"
"4-High","3-Medium","2-Low","2-Low","2-Low","2-Low","2-Low","1-Very Low","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","4-High","4-High","2-Low","1-Very Low","5-Very High","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"3-Medium","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High","3-Medium"
"3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","2-Low","2-Low","2-Low","4-High","4-High","2-Low","3-Medium","2-Low","5-Very High","3-Medium","2-Low","1-Very Low","3-Medium","4-High","4-High","4-High","3-Medium","2-Low","4-High","4-High","4-High","4-High"
"4-High","3-Medium","5-Very High","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","1-Very Low","1-Very Low","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High"
"2-Low","2-Low","3-Medium","2-Low","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","4-High","3-Medium","2-Low","5-Very High","2-Low","2-Low","5-Very High","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","4-High","1-Very Low","3-Medium"
"2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","2-Low","3-Medium","2-Low","4-High","2-Low","4-High","4-High","4-High","4-High","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low"
"3-Medium","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","2-Low","2-Low","2-Low","3-Medium","4-High","1-Very Low","3-Medium","2-Low","4-High","2-Low","2-Low","1-Very Low","4-High","3-Medium","2-Low","4-High","3-Medium","2-Low","4-High","4-High","4-High","3-Medium"
"3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium"
"4-High","3-Medium","3-Medium","2-Low","2-Low","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","5-Very High","4-High","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","2-Low","2-Low"
"3-Medium","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","4-High","4-High","3-Medium","2-Low","2-Low","3-Medium","2-Low","4-High","4-High","1-Very Low","3-Medium","5-Very High","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low"
"2-Low","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","5-Very High","2-Low","1-Very Low","4-High","3-Medium","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"3-Medium","4-High","4-High","1-Very Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","5-Very High","1-Very Low","3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","4-High","3-Medium","5-Very High","3-Medium","3-Medium","4-High"
"3-Medium","4-High","2-Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","5-Very High","2-Low","4-High","4-High","3-Medium","4-High","1-Very Low","2-Low","4-High","3-Medium","2-Low","4-High","4-High","2-Low","5-Very High","3-Medium","2-Low","3-Medium"
"2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"3-Medium","3-Medium","4-High","2-Low","2-Low","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","4-High","4-High","3-Medium","1-Very Low","5-Very High","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High"
"5-Very High","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High","4-High","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium"
"3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","1-Very Low","2-Low","3-Medium","4-High","3-Medium","2-Low","2-Low","5-Very High","5-Very High","1-Very Low","2-Low","3-Medium","3-Medium","4-High","4-High","5-Very High","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"4-High","4-High","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","4-High","1-Very Low","2-Low","5-Very High","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","2-Low","2-Low","3-Medium"
"2-Low","2-Low","3-Medium","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","4-High","3-Medium","4-High","4-High","2-Low","1-Very Low","1-Very Low","3-Medium","4-High","2-Low","3-Medium","2-Low","1-Very Low","4-High","3-Medium","4-High"
"3-Medium","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","5-Very High","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","5-Very High","3-Medium","3-Medium","3-Medium"
"3-Medium","3-Medium","4-High","5-Very High","4-High","4-High","3-Medium","1-Very Low","3-Medium","2-Low","4-High","2-Low","3-Medium","1-Very Low","5-Very High","2-Low","4-High","1-Very Low","5-Very High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High","5-Very High","5-Very High"
"3-Medium","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"2-Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","5-Very High","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","5-Very High","4-High","3-Medium","3-Medium","4-High","3-Medium","5-Very High","3-Medium","2-Low","3-Medium"
"4-High","4-High","4-High","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"4-High","2-Low","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","5-Very High","3-Medium","4-High","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium"
"1-Very Low","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","4-High","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High"
"2-Low","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","2-Low","4-High","3-Medium","5-Very High","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","5-Very High","1-Very Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","2-Low","5-Very High"
"3-Medium","4-High","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","4-High","5-Very High","4-High","4-High","2-Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","2-Low","3-Medium","4-High"
"2-Low","4-High","2-Low","1-Very Low","2-Low","2-Low","4-High","2-Low","4-High","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium","4-High","4-High","5-Very High","2-Low","3-Medium","3-Medium"
"3-Medium","2-Low","4-High","2-Low","2-Low","3-Medium","4-High","1-Very Low","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","4-High","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"3-Medium","3-Medium","2-Low","1-Very Low","4-High","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","2-Low","3-Medium","4-High","2-Low","2-Low","5-Very High","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"3-Medium","4-High","4-High","1-Very Low","3-Medium","3-Medium","2-Low","1-Very Low","4-High","2-Low","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","4-High","3-Medium","4-High","4-High","3-Medium","2-Low","4-High","3-Medium"
"3-Medium","2-Low","3-Medium","1-Very Low","2-Low","4-High","3-Medium","2-Low","4-High","2-Low","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","2-Low","2-Low","5-Very High","4-High","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium"
"3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","4-High","2-Low","3-Medium"
"3-Medium","4-High","4-High","2-Low","2-Low","2-Low","3-Medium","4-High","4-High","2-Low","4-High","2-Low","3-Medium","3-Medium","4-High","5-Very High","2-Low","2-Low","5-Very High","2-Low","4-High","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium"
"2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High","4-High","4-High","4-High","2-Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"4-High","4-High","4-High","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","4-High","1-Very Low","4-High","3-Medium","4-High","3-Medium","2-Low","2-Low","5-Very High","3-Medium","5-Very High","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"2-Low","2-Low","4-High","5-Very High","4-High","2-Low","4-High","1-Very Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","5-Very High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","2-Low","4-High","3-Medium","4-High","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","4-High","4-High","4-High","5-Very High","4-High","3-Medium","3-Medium"
"3-Medium","5-Very High","3-Medium","1-Very Low","4-High","2-Low","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","5-Very High","2-Low","3-Medium","4-High","4-High","4-High","2-Low","3-Medium","3-Medium","4-High"
"3-Medium","4-High","3-Medium","1-Very Low","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","5-Very High","3-Medium","4-High","2-Low","1-Very Low","5-Very High","3-Medium","4-High","3-Medium","2-Low","2-Low","3-Medium","2-Low","2-Low","4-High"
"4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","4-High","4-High","3-Medium","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","4-High"
"3-Medium","3-Medium","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","4-High","2-Low","1-Very Low","5-Very High","3-Medium","4-High","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","4-High"
"3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High","4-High","4-High","1-Very Low","2-Low","5-Very High","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium"
"3-Medium","2-Low","2-Low","1-Very Low","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","5-Very High","1-Very Low","3-Medium","5-Very High","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low"
"3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","2-Low","3-Medium","5-Very High","3-Medium","2-Low","2-Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","2-Low","4-High","2-Low","3-Medium","2-Low","4-High"
"3-Medium","4-High","3-Medium","1-Very Low","3-Medium","4-High","2-Low","4-High","3-Medium","4-High","4-High","1-Very Low","2-Low","1-Very Low","4-High","5-Very High","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","2-Low","2-Low"
"2-Low","4-High","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","4-High","2-Low","2-Low","2-Low","3-Medium","4-High","4-High","2-Low","4-High","3-Medium"
"2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","5-Very High","2-Low","4-High","2-Low","4-High","2-Low","5-Very High","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","5-Very High","4-High","4-High"
"1-Very Low","4-High","2-Low","4-High","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","1-Very Low","4-High","5-Very High","4-High","4-High","1-Very Low","2-Low","5-Very High","1-Very Low","2-Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low"
"3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","1-Very Low","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","5-Very High","4-High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"2-Low","3-Medium","4-High","5-Very High","3-Medium","2-Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","4-High","4-High","4-High","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low"
"3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","2-Low","2-Low","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","4-High","2-Low","4-High","2-Low","2-Low","3-Medium"
"2-Low","2-Low","4-High","2-Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","5-Very High","3-Medium","2-Low","3-Medium","4-High","3-Medium","4-High","4-High","1-Very Low","2-Low","3-Medium","4-High","3-Medium","4-High","2-Low","3-Medium","3-Medium","2-Low","5-Very High"
"3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","1-Very Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium"
"4-High","2-Low","2-Low","1-Very Low","1-Very Low","4-High","3-Medium","1-Very Low","4-High","4-High","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","3-Medium","5-Very High","3-Medium","1-Very Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"2-Low","3-Medium","5-Very High","2-Low","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","5-Very High","3-Medium","4-High","4-High","2-Low","2-Low","4-High","3-Medium"
"4-High","2-Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","4-High","3-Medium","1-Very Low","2-Low","2-Low","4-High","4-High","3-Medium","1-Very Low","5-Very High","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High"
"4-High","2-Low","2-Low","1-Very Low","2-Low","1-Very Low","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","4-High","4-High","4-High","3-Medium","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"2-Low","4-High","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","1-Very Low","4-High","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","5-Very High","4-High","2-Low","2-Low","5-Very High","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium"
"3-Medium","3-Medium","4-High","1-Very Low","3-Medium","4-High","2-Low","4-High","4-High","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium"
"3-Medium","3-Medium","2-Low","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","4-High","4-High","3-Medium","1-Very Low","2-Low","2-Low","2-Low","5-Very High","2-Low","2-Low","5-Very High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium"
"3-Medium","3-Medium","2-Low","4-High","1-Very Low","3-Medium","1-Very Low","2-Low","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium"
