"","competitor number of customers","number of customers","competitor potential customers","potential customers","competitor innovation","innovation","competitor organic growth","organic growth","competitor flowers replacability","flowers replacability","competitor returns to scale","returns to scale","competitor capital investment","capital investment","competitor days to plant maturity","days to plant maturity","competitor floriculturist innovation","floriculturist innovation","fitness","competitor advantage in customers","competitor advantage in potential customers","competitor advantage in innovation","competitor advantage in organic growth","competitor advantage in flowers replacability","competitor advantage in returns to scale","competitor advantage in capital investment","competitor advantage in days to plant maturity","competitor advantage in floriculturist innovation"
"87","4-High","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","2-Low","2-Low","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","4-High"
"88","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","4-High","4-High","2-Low","4-High","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","2-Low"
"89","4-High","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","2-Low","4-High","1-Very Low","5-Very High","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","5-Very High","4-High","4-High"
"90","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium"
"91","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","1-Very Low","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","4-High"
"92","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","1-Very Low","3-Medium","1-Very Low","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","1-Very Low","4-High","3-Medium","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","4-High"
"93","4-High","3-Medium","3-Medium","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","4-High","4-High","3-Medium","4-High","4-High","3-Medium","4-High","2-Low","2-Low","5-Very High","3-Medium","2-Low","3-Medium","4-High","2-Low","4-High","3-Medium","2-Low","3-Medium"
"94","3-Medium","3-Medium","2-Low","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","4-High","4-High","4-High","3-Medium","3-Medium","4-High","4-High"
"95","2-Low","5-Very High","2-Low","4-High","2-Low","2-Low","3-Medium","1-Very Low","3-Medium","5-Very High","4-High","3-Medium","4-High","4-High","4-High","4-High","2-Low","2-Low","4-High","1-Very Low","2-Low","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"96","3-Medium","5-Very High","2-Low","4-High","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High"
"97","2-Low","3-Medium","1-Very Low","2-Low","4-High","2-Low","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","5-Very High","2-Low","4-High","4-High","2-Low","4-High","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","4-High","5-Very High","3-Medium","2-Low"
"98","2-Low","4-High","2-Low","2-Low","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","5-Very High","5-Very High","1-Very Low","1-Very Low","4-High","2-Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"99","2-Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","2-Low","3-Medium","4-High","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","3-Medium","2-Low","4-High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High"
"100","3-Medium","4-High","3-Medium","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","2-Low","4-High","1-Very Low","2-Low","4-High","4-High","1-Very Low","2-Low","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium"
"101","4-High","3-Medium","4-High","2-Low","2-Low","1-Very Low","4-High","1-Very Low","4-High","2-Low","5-Very High","2-Low","2-Low","3-Medium","4-High","5-Very High","1-Very Low","2-Low","2-Low","4-High","4-High","3-Medium","4-High","4-High","5-Very High","2-Low","3-Medium","2-Low"
"102","2-Low","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High","4-High","3-Medium","2-Low","4-High","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High"
"103","2-Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","4-High","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"104","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","4-High","1-Very Low","2-Low","4-High","2-Low","3-Medium","2-Low","2-Low","3-Medium","5-Very High","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","2-Low","3-Medium"
"105","4-High","2-Low","2-Low","3-Medium","3-Medium","1-Very Low","4-High","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","3-Medium","2-Low"
"106","2-Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","5-Very High","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium"
"107","4-High","4-High","4-High","4-High","1-Very Low","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium"
"108","4-High","4-High","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium"
"109","4-High","3-Medium","2-Low","2-Low","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","5-Very High","4-High","2-Low","5-Very High","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","5-Very High","2-Low","3-Medium"
"110","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","4-High"
"111","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium"
"112","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low","4-High","5-Very High","4-High","4-High","2-Low","3-Medium","3-Medium","5-Very High","4-High","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","5-Very High"
"113","4-High","4-High","4-High","3-Medium","2-Low","2-Low","1-Very Low","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","2-Low","2-Low","4-High","5-Very High","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low"
"114","4-High","4-High","4-High","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium"
"115","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","4-High","3-Medium","5-Very High","3-Medium","2-Low","3-Medium","4-High","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","2-Low"
"116","3-Medium","3-Medium","4-High","3-Medium","4-High","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium"
"117","4-High","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","4-High","3-Medium","2-Low","1-Very Low","3-Medium","4-High","3-Medium","2-Low","4-High","2-Low","3-Medium","1-Very Low","3-Medium","4-High"
"118","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","4-High","2-Low","2-Low","4-High","5-Very High","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low"
"119","4-High","5-Very High","3-Medium","4-High","3-Medium","2-Low","3-Medium","1-Very Low","4-High","3-Medium","4-High","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","5-Very High","5-Very High","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","4-High","2-Low"
"120","3-Medium","2-Low","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","2-Low","1-Very Low","4-High","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium","4-High","2-Low","3-Medium"
"121","4-High","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","5-Very High","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","4-High","4-High","3-Medium","4-High","2-Low","4-High","2-Low","3-Medium","2-Low"
"122","4-High","4-High","4-High","4-High","1-Very Low","1-Very Low","2-Low","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High"
"123","2-Low","4-High","2-Low","3-Medium","1-Very Low","1-Very Low","1-Very Low","1-Very Low","4-High","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","4-High","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium"
"124","5-Very High","4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","1-Very Low","2-Low","4-High","4-High","4-High","2-Low","3-Medium","4-High","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium"
"125","2-Low","4-High","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","4-High"
"126","2-Low","5-Very High","3-Medium","4-High","2-Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","2-Low","3-Medium","5-Very High","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium"
"127","4-High","4-High","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High","2-Low","3-Medium","5-Very High","2-Low","2-Low","1-Very Low","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium"
"128","4-High","4-High","4-High","4-High","4-High","2-Low","3-Medium","2-Low","4-High","5-Very High","4-High","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","5-Very High","3-Medium","2-Low","4-High","3-Medium","3-Medium","5-Very High","2-Low","4-High","4-High"
"129","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","2-Low","4-High","4-High","3-Medium","4-High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium"
"130","4-High","4-High","4-High","2-Low","2-Low","2-Low","2-Low","1-Very Low","3-Medium","2-Low","4-High","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"131","4-High","3-Medium","2-Low","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","1-Very Low","4-High","4-High","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","1-Very Low","5-Very High","4-High","2-Low","3-Medium","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","4-High"
"132","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","4-High","4-High","3-Medium","2-Low","3-Medium","5-Very High","4-High","1-Very Low","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","2-Low","5-Very High"
"133","4-High","4-High","3-Medium","4-High","4-High","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","5-Very High","3-Medium","2-Low","3-Medium","5-Very High","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium"
"134","4-High","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","1-Very Low","4-High","4-High","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low"
"135","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","4-High","3-Medium","4-High","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","2-Low"
"136","5-Very High","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","4-High","2-Low","2-Low","2-Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium"
"137","2-Low","3-Medium","4-High","2-Low","2-Low","1-Very Low","1-Very Low","4-High","4-High","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","1-Very Low","4-High","3-Medium","4-High","3-Medium","3-Medium"
"138","5-Very High","3-Medium","2-Low","3-Medium","1-Very Low","1-Very Low","4-High","1-Very Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","5-Very High","2-Low","2-Low","2-Low","4-High","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium"
"139","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","2-Low","4-High","4-High"
"140","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","2-Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High"
"141","3-Medium","4-High","2-Low","4-High","4-High","1-Very Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","2-Low","5-Very High","2-Low","2-Low","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low"
"142","3-Medium","5-Very High","2-Low","4-High","2-Low","1-Very Low","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","4-High","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"143","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High","4-High","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","2-Low","2-Low","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"144","4-High","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","2-Low","2-Low","2-Low","4-High","2-Low","2-Low","2-Low","5-Very High","4-High","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","4-High","2-Low"
"145","4-High","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","1-Very Low","1-Very Low","4-High","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium","2-Low","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium"
"146","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","4-High","4-High","3-Medium"
"147","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","4-High","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"148","2-Low","3-Medium","2-Low","4-High","2-Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","5-Very High","3-Medium","1-Very Low","1-Very Low","4-High","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"149","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","4-High","2-Low","2-Low","3-Medium","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"150","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","2-Low","2-Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","5-Very High","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","5-Very High","3-Medium","3-Medium"
"151","2-Low","3-Medium","2-Low","4-High","2-Low","1-Very Low","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","5-Very High","2-Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low"
"152","2-Low","3-Medium","4-High","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","4-High","2-Low","2-Low","2-Low","4-High","3-Medium","4-High","5-Very High","2-Low","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium","2-Low","3-Medium"
